id	message
PAYMENT_PROVIDER_INVALID	 payment provider was not recognised or its token was invalid
PEERS_LIST_EMPTY	 Spesifik list of peers kosong.
PEER_FLOOD	 method tidak bisa digunakan karena akun kamu sedang limit
PEER_HISTORY_EMPTY	Peer history empty
PEER_ID_INVALID	 peer id yang digunakan invalid atau tidak diketahui. Pastikan Kamu meet  peer sebelum berinteraksi dengannya
PEER_ID_NOT_SUPPORTED	  peer id tidak support
PERSISTENT_TIMESTAMP_EMPTY	 pts argument kosong
PERSISTENT_TIMESTAMP_INVALID	 persistent timestamp invalid
PHONE_CODE_EMPTY	 phone code tidak ada
PHONE_CODE_EXPIRED	 confirmation code has expired
PHONE_CODE_HASH_EMPTY	 phone code hash tidak ada
PHONE_CODE_INVALID	 confirmation code invalid
PHONE_HASH_EXPIRED	An invalid or expired phone_code_hash was 
PHONE_NOT_OCCUPIED	Tidak ada Pengguna yang terasoiasi untum  Spesifik Nomor handphone
PHONE_NUMBER_APP_SIGNUP_FORBIDDEN	Kamu tidak bisa sign up menggunakan app ini
PHONE_NUMBER_BANNED	 Nomor handphone terbanned oleh Telegram dan tidak bisa digunakan
PHONE_NUMBER_FLOOD	Nomor ini mencoba login terlalu banyak
PHONE_NUMBER_INVALID	 Nomor handphone invalid
PHONE_NUMBER_OCCUPIED	 Nomor handphone is sudah use
PHONE_NUMBER_UNOCCUPIED	 Nomor handphone belum gunakan
PHONE_PASSWORD_PROTECTED	 Phone password terlindungi
PHOTO_CONTENT_TYPE_INVALID	 Tipe konten photo invalid
PHOTO_CONTENT_URL_EMPTY	 Konten photo URL kosong
PHOTO_CROP_FILE_MISSING	Photo crop file hilang
PHOTO_CROP_SIZE_SMALL	 photo terlalu kecil
PHOTO_EXT_INVALID	 Extensi photo invalid
PHOTO_FILE_MISSING	File profile photo hilang
PHOTO_ID_INVALID	 photo id invalid
PHOTO_INVALID	 photo invalid
PHOTO_INVALID_DIMENSIONS	 photo dimensions are invalid
PHOTO_SAVE_FILE_INVALID	 photo Kamu mencoba mengirim tidak bisa be saved by Telegram
PHOTO_THUMB_URL_EMPTY	 photo thumb URL kosong
PHOTO_THUMB_URL_INVALID	 photo thumb URL invalid
PINNED_DIALOGS_TOO_MUCH	terlalu banyak pinned dialogs
PIN_RESTRICTED	Kamu tidak bisa pin pesan in private chats with or people
PLATFORM_INVALID	  platform invalid. Allowed values are "android", "ios", "wp", "bb", "desktop", "web", "ubp", "or".
POLL_ANSWERS_INVALID	 poll answers are invalid
POLL_ANSWER_INVALID	One of  poll answers is bukancceptable
POLL_OPTION_DUPLICATE	A duplicate option was sent in  same poll
POLL_OPTION_INVALID	A poll option used invalid data ( data may be too long)
POLL_QUESTION_INVALID	 poll question invalid
POLL_UNSUPPORTED	This layer does not support polls in  invoked method
POLL_VOTE_REQUIRED	Cast a vote in  poll before calling Method ini
PREMIUM_ACCOUNT_REQUIRED	 Memerlukan premium user account
PREMIUM_GIFTCODE_WAS_REFUNDED	This gift code tidak bisa be redeemed karena  giveaway organizer requested a refund
PRIVACY_KEY_INVALID	 privacy key invalid
PRIVACY_TOO_LONG	Kamur privacy exception list has exceeded  maximum capacity
PRIVACY_VALUE_INVALID	 privacy value invalid
PUBLIC_BROADCAST_EXPECTED	A public channel was expected, but something else was 
PUBLIC_KEY_REQUIRED	A public key is required
QUERY_ID_EMPTY	 query ID kosong
QUERY_ID_INVALID	 callback query id invalid
QUERY_TOO_SHORT	 query is too short
QUIZ_ANSWER_MISSING	Kamu can forward a quiz while hiding  original author only after choosing an option in  quiz
QUIZ_CORRECT_ANSWERS_EMPTY	 correct answers of  quiz are empty
QUIZ_CORRECT_ANSWERS_TOO_MUCH	 quiz contains terlalu banyak correct answers
QUIZ_CORRECT_ANSWER_INVALID	 correct answers of  quiz are invalid
QUIZ_MULTIPLE_INVALID	A quiz tidak bisa have multiple answers
QUOTE_TEXT_INVALID	 quote text invalid
RANDOM_ID_EMPTY	 random ID kosong
RANDOM_ID_INVALID	  random ID invalid
RANDOM_LENGTH_INVALID	 random length invalid
RANGES_INVALID	Invalid range 
